show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,bag_of_content,processed_content,cluster
s11,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,"October 20, 2017",2017,TV-MA,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",2017.0,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella. Dramas, Thrillers Zak Hilditch Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough United States TV-MA",farmer pen confession admitting wife murder death beginning macabre tale based stephen king novella drama thriller zak hilditch thomas jane molly parker dylan schmid kaitlyn bernard bob frazer brian darcy james neal mcdonough united state tvma,1
s12,TV Show,1983,,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",2018.0,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades. Crime TV Shows, International TV Shows, TV Dramas  Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach Poland, United States TV-MA",dark althistory thriller nave law student worldweary detective uncover conspiracy tyrannized poland decade crime show international show drama robert wickiewicz maciej musia michalina olszaska andrzej chyra clive russell zofia wichacz edyta olszwka mateusz kociukiewicz ewa baszczyk hong tomasz wosok krzysztof wach poland united state tvma,0
s13,TV Show,1994,Diego Enrique Osorno,,Mexico,"May 17, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",2019.0,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio. Crime TV Shows, Docuseries, International TV Shows Diego Enrique Osorno  Mexico TV-MA",archival video new interview examine mexican politics year marked rise ezln assassination luis donaldo colosio crime show docuseries international show diego enrique osorno mexico tvma,0
s14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,"March 1, 2019",2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",2019.0,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017. Documentaries, International Movies, Sports Movies Nottapon Boonprakob Artiwara Kongmalai Thailand TV-MA",intimate documentary follows rock star artiwara kongmalai historic kilometer charity run across thailand documentary international movie sport movie nottapon boonprakob artiwara kongmalai thailand tvma,1
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,"March 19, 2020",2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",2020.0,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds. Independent Movies, Sci-Fi & Fantasy, Thrillers John Suits Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman United States R",stranded earth suddenly destroyed mysterious cataclysm astronaut aboard marooned space station slowly lose mind independent movie scifi fantasy thriller john suit omar epps kate walsh miranda cosgrove angus macfadyen jorja fox enver gjokaj haaz sleiman united state,1
s16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,"September 1, 2019",2014,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",2019.0,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women. Dramas, International Movies, Thrillers Kunle Afolayan Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin Nigeria TV-14",backdrop nigeria looming independence britain detective danladi waziri race capture killer terrorizing local woman drama international movie thriller kunle afolayan sadiq daba david bailie kayode olaiya kehinde bankole fabian adeoye lojede nick rhys kunle afolayan colin david reese ibrahim shatta femi adebayo kanayo kanayo lawrence stubbings ademola adedoyin nigeria,1
s17,TV Show,Feb-09,,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,"March 20, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",2019.0,"As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy. International TV Shows, TV Dramas  Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi  TV-14",psychology professor face alzheimers daughter three close female friend experience romance marriage heartbreak tragedy international show drama shahd yaseen shaila sabt hala hanadi alkandari salma salem ibrahim alharbi mahmoud boushahri yousef balushi ghorour abdullah albloshi,0
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",2018.0,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story. Dramas, Thrillers Paul Greengrass Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith Norway, Iceland, United States R",devastating terror attack norway young survivor grieving family country rally justice healing based true story drama thriller paul greengrass anders danielsen lie jon igarden jonas strand gravli ola furuseth maria bock thorbjrn harr jaden smith norway iceland united state,1
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,"March 29, 2019",2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019.0,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy. Comedies, Dramas, Independent Movies Swapnaneel Jayakar Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar India TV-14",india independence day zany mishap mumbai chawl disrupts young love story compelling resident unite aid little boy comedy drama independent movie swapnaneel jayakar rahul pethe mrunmayee deshpande adinath kothare vaibhav mangale jaywant wadkar satish pulekar naina apte uday tikekar india,1
s20,Movie,'89,,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,"May 16, 2018",2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",2018.0,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game. Sports Movies  Lee Dixon, Ian Wright, Paul Merson United Kingdom TV-PG",mixing old footage interview story arsenal improbable win versus liverpool final moment championship game sport movie lee dixon ian wright paul merson united kingdom tvpg,1
s21,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,"September 1, 2018",2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",2018.0,"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond. Dramas, Independent Movies, International Movies Onir Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan India TV-14",accidentally connecting internet two stranger form tight friendship knowing already share bond drama independent movie international movie onir geetanjali thapa zain khan durrani shray rai tiwari mona ambegaonkar chandreyee ghosh barun chanda saheb bhattacharjee shefali chauhan india,1
s22,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,"September 15, 2018",2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",2018.0,"A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers. Action & Adventure, Dramas, International Movies Vijay Milton Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha India TV-14",taxi driver gangster athlete struggle better life despite obstacle like crooked politician evil don caste barrier action adventure drama international movie vijay milton samuthirakani bharath seeni vinoth esakki barath chemban vinod jose gautham menon krisha kurup subiksha india,1
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,"September 15, 2018",2017,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",2018.0,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks. Dramas, International Movies Santwana Bardoloi Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar India TV-14",successful writer return town launched career encountering people spark nostalgic often painfully illuminating flashback drama international movie santwana bardoloi adil hussain shakil imtiaz mahendra rabha sulakshana baruah rahul gautam sarma kulada bhattacharjya indu mohan da moumita talukdar india,1
s24,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,"September 15, 2018",2017,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",2018.0,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them. Dramas, International Movies Atanu Ghosh Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury India TV-14",middleaged divorcee return kolkata visit ailing father longburied memory resurface bringing new discovery drama international movie atanu ghosh soumitra chatterjee prasenjit chatterjee indrani haldar sudipta chakraborty suman banerjee gargi roychowdhury india,1
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,"January 23, 2020",2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",2020.0,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all. Anime Series, International TV Shows  Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi Japan TV-14",seiya knight zodiac rise protect reincarnation goddess athena dark prophecy hang anime series international show bryson baugus emily neve blake shepard patrick poole luci christian adam gibbs masakazu morita fumiko orikasa takahiro sakurai hiroaki miura satomi sato katsuyuki konishi japan,0
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",,United States,"June 30, 2016",2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,2016.0,"This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target. Documentaries Lyric R. Cabral, David Felix Sutcliffe  United States NR",reallife look fbi counterterrorism operation feature access side sting government informant radicalized target documentary lyric cabral david felix sutcliffe united state,1
s27,TV Show,(Un)Well,,,United States,"August 12, 2020",2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",2020.0,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises? Reality TV   United States TV-MA",docuseries take deep dive lucrative wellness industry tout health healing product live promise reality united state tvma,1
s28,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,"September 8, 2020",2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020.0,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out. Horror Movies, International Movies, Thrillers Cho Il Yoo Ah-in, Park Shin-hye South Korea TV-MA",grisly virus rampage city lone man stay locked inside apartment digitally cut seeking help desperate find way horror movie international movie thriller cho yoo ahin park shinhye south korea tvma,1
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,"July 1, 2020",2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",2020.0,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren. Documentaries, International Movies Sabina Fedeli, Anna Migotto Helen Mirren, Gengher Gatti Italy TV-14",diary anne frank story retold alongside five holocaust survivor poignant documentary oscar winner helen mirren documentary international movie sabina fedeli anna migotto helen mirren gengher gatti italy,1
s30,TV Show,#blackAF,,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,"April 17, 2020",2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",2020.0,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series. TV Comedies  Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers United States TV-MA",kenya barris family navigate relationship race culture grappling newfound success comedy series comedy kenya barris rashida jones iman benson genneya walton scarlet spencer justin claiborne ravi cabotconyers united state tvma,1
s31,Movie,#cats_the_mewvie,Michael Margolis,,Canada,"February 5, 2020",2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",2020.0,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers. Documentaries, International Movies Michael Margolis  Canada TV-14",pawesome documentary explores feline friend became online icon earliest text meme rise celebrity cat influencers documentary international movie michael margolis canada,1
s32,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,"May 21, 2020",2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",2020.0,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married. Dramas, International Movies, Romantic Movies Rako Prijanto Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila Indonesia TV-G",pining high school crush year young man put best effort move friend zone reveals shes getting married drama international movie romantic movie rako prijanto adipati dolken vanesha prescilla rendi jhon beby tsabina denira wiraguna refal hady diandra agatha sari nila indonesia tvg,1
s33,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,"June 28, 2020",2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020.0,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage. Dramas, International Movies, Romantic Movies Rako Prijanto Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata Indonesia TV-G",ayu ditto finally transition best friend newlywed quick pregnancy creates uncertainty future young marriage drama international movie romantic movie rako prijanto adipati dolken mawar jongh sari nila vonny cornellya clay gribble ivan leonardy sarah sechan jourdy pranata indonesia tvg,1
